大分類,中分類,項目,詳細内容
POST /api/notice,パラメータ,{ title ・ content },レスポンス: { success ・ noticeId } ・ お知らせ作成API（管理者専用）
GET /api/notice/[noticeId],パラメータ,パスなし,レスポンス: { notice: { id ・ title ・ content ・ createdAt ・ updatedAt } } ・ お知らせ詳細取得API
PUT /api/notice/[noticeId],パラメータ,{ title ・ content },レスポンス: { success } ・ お知らせ更新API（管理者専用）
DELETE /api/notice/[noticeId],パラメータ,パスなし,レスポンス: { success } ・ お知らせ削除API（管理者専用）
GET /api/guides,パラメータ,{ mainCategory? ・ subCategory? },レスポンス: { guides: [] } ・ ガイド一覧取得API
━━━ 10. エラー・通知文言 ━━━,,,
作成エラー,表示タイミング: タイトル未入力時,タイトルは必須です。,
作成エラー,表示タイミング: 内容が短すぎる時,内容は10文字以上入力してください。,
権限エラー,表示タイミング: 権限不足時,この操作を実行する権限がありません。,
削除確認（お知らせ）,表示タイミング: お知らせ削除ボタン押下時,このお知らせを削除してもよろしいですか？,
削除確認（ガイド）,表示タイミング: ガイド削除ボタン押下時,このガイドを削除してもよろしいですか？,
成功メッセージ,表示タイミング: お知らせ作成成功時,お知らせを作成しました。,
成功メッセージ,表示タイミング: お知らせ更新成功時,お知らせを更新しました。,
成功メッセージ,表示タイミング: お知らせ削除成功時,お知らせを削除しました。,
成功メッセージ,表示タイミング: ガイド作成成功時,ガイドを作成しました。,
成功メッセージ,表示タイミング: ガイド更新成功時,ガイドを更新しました。,
成功メッセージ,表示タイミング: ガイド削除成功時,ガイドを削除しました。,
━━━ 11. モーダル仕様 ━━━,,,
お知らせ削除確認,トリガー: 削除ボタン押下時,内容: 削除確認メッセージ,ボタン: キャンセル ・ 削除
ガイド削除確認,トリガー: 削除ボタン押下時,内容: 削除確認メッセージ,ボタン: キャンセル ・ 削除
プレビュー,トリガー: プレビューボタン押下時,内容: マークダウン形式の内容をHTMLに変換してプレビュー表示,ボタン: 閉じる
━━━ 12. 認証・ガード ━━━,,,
認証不要,アクセス制御,お知らせ・ガイドの閲覧は未ログインでも可能,
権限チェック,制御方式,お知らせ・ガイドの作成・編集・削除はMODERATOR以上の権限が必要 ・ 権限不足時は403エラー表示,
━━━ 13. 非機能要件 ━━━,,,
パフォーマンス,最適化手法,お知らせ一覧はページネーション対応 ・ ガイドはキャッシュ（1時間）,
セキュリティ,セキュリティ対策,マークダウン内容はXSS対策でサニタイズ ・ HTMLタグはエスケープ,
スケーラビリティ,拡張性,お知らせ・ガイドはインデックス最適化 ・ 大量データにも対応,
可用性,エラー処理,API失敗時はリトライ機能 ・ エラー時は適切なエラーメッセージ表示,
━━━ 14. テスト観点 ━━━,,,
お知らせ一覧: 表示確認,テストケース,お知らせ一覧表示 ・ 最新順に並び替え確認,
お知らせ詳細: 表示確認,テストケース,お知らせ詳細表示 ・ マークダウン形式の内容がHTMLに変換されることを確認,
お知らせ作成: 正常系,テストケース,管理者がお知らせ作成成功 ・ マークダウンエディタ動作確認,
お知らせ編集: 正常系,テストケース,管理者がお知らせ編集成功,
お知らせ削除: 正常系,テストケース,管理者がお知らせ削除成功 ・ 確認ダイアログ表示確認,
権限チェック: 作成可能,テストケース,MODERATOR以上の権限で作成・編集・削除可能確認,
権限チェック: 作成不可,テストケース,USER権限で作成・編集・削除不可確認,
ガイド閲覧: 表示確認,テストケース,カテゴリー別にガイド表示 ・ アコーディオン動作確認,
ガイド作成: 正常系,テストケース,管理者がガイド作成成功,
ガイド編集: 正常系,テストケース,管理者がガイド編集成功,
ガイド削除: 正常系,テストケース,管理者がガイド削除成功,
━━━ 15. 今後の拡張余地 ━━━,,,
お知らせ通知,提案内容,新しいお知らせ投稿時にユーザーに通知,
お知らせカテゴリー,提案内容,お知らせをカテゴリー別に分類（メンテナンス ・ イベント ・ アップデートなど）,
お知らせピン留め,提案内容,重要なお知らせを一覧の最上部に固定,
ガイド検索,提案内容,ガイドをキーワードで検索する機能,
ガイド評価,提案内容,ユーザーがガイドに評価（役に立った / 役に立たなかった）を付ける機能,
多言語対応,提案内容,お知らせ・ガイドの多言語対応,
